teks_tweet,lokasi,created_at,username,lang
"Dapur Satuan Pelayanan memproses daging sapi berkualitas dengan standar kebersihan tinggi untuk menyajikan menu makan bergizi gratis terbaik #LanjutkanMBG

#REDRED6thWin #CORTIS6thWin #JossGawin https://t.co/C1EhEQllfq",,2026-05-16T09:24:18.000Z,venusdocxx,in
"Spot bengong gratis di bogor, ngeliatin kota yang abis diguyur hujan. Asik sih 🥶 https://t.co/WGGPOPsA1P",,2026-05-16T10:49:40.000Z,KulineRain,in
@InvestGold_1 Program Makan Bergizi Gratis (MBG) menurunkan angka stunting dan kekurangan gizi. #MBG #MakanBergiziGratis #AnakSehatBangsaKuat https://t.co/ZgSC39QSo3,,2026-05-16T05:11:04.000Z,ProboJoyo,in
"Temuan puntung rokok dalam ompreng program Makan Bergizi Gratis (MBG) di sebuah sekolah di Jatiroto, Wonogiri, memicu sorotan publik. Benda tersebut ditemukan tercampur dalam lauk oseng tempe dan teri yang dibagikan kepada anak-anak, hingga memunculkan pertanyaan serius soal https://t.co/ZixJHQn3eL",,2026-05-11T05:12:36.000Z,wartadewan,in
"Sidokkes Polres Kolaka melaksanakan pemeriksaan dan pengawasan keamanan makanan dalam program Makan Bergizi Gratis (MBG) di SPPG Polres Kolaka, Sabtu (9/5).

Polri Terus Berkomitmen Maksimalkan Kemajuan Indonesia serta #PenuhiGiziBangsa Indonesia https://t.co/QJgSxzFv9m",,2026-05-16T05:25:47.000Z,humaspolsulteng,in
Azab berbohong makan bergizi gratis sejak 6 Januari 2025.,,2026-05-14T18:06:28.000Z,wifeqi,in
@KarmanTejo Program Makan Bergizi Gratis (MBG) menurunkan angka stunting dan kekurangan gizi. #MBG #MakanBergiziGratis #AnakSehatBangsaKuat https://t.co/QAIuV0Eo9G,,2026-05-16T05:14:06.000Z,ProboJoyo,in
"Jawaban jujur 

❌ Makan Bergizi Gratis

✅ Pendidikan Gratis Hingga Kuliah https://t.co/ShkRe9eo70",,2026-05-07T11:24:09.000Z,Jumianto_RK,in
"Program Makan Bergizi Gratis (MBG) terus didorong agar tepat sasaran dan dapat dirasakan oleh anak-anak yang benar-benar membutuhkan 🍽️🇮🇩
#MBG #ProgramPemerintah #GenerasiSehat #PemerataanGizi https://t.co/zxa9xdQvW5",,2026-05-11T23:42:33.000Z,Duniatahu_,in
"Dan Terjadi lagiii

Sebanyak 200 siswa dari 12 sekolah tingkat TK, SD, dan SMP di kawasan Tembok Dukuh, Kota Surabaya, mengalami gejala keracunan yang diduga akibat mengonsumsi Makan Bergizi Gratis (MBG), Senin (11/5/2026) siang.

Pie yo https://t.co/qy1roqJ6rY",,2026-05-12T02:21:39.000Z,Jateng_Twit,in
